,TradeIdx,Date,EntryDate,Time,TradeVolume,AskVolume,BidVolume,TradePrice,AskPrice,BidPrice,MidPrice,MidPriceW,Buy/Sell
0,6,20201126,201126,90000,3,3,34,362975,362975,362950,362962.5,362952.02702702704,1
1,87,20201126,201126,90000,1,25,20,363000,363000,362975,362987.5,362988.8888888889,1
2,94,20201126,201126,90004,1,28,19,363000,363000,362975,362987.5,362989.89361702127,1
3,239,20201126,201126,90021,2,43,38,362975,363000,362975,362987.5,362988.27160493826,-1
4,254,20201126,201126,90024,1,42,35,363000,363000,362975,362987.5,362988.63636363635,1
5,261,20201126,201126,90025,1,39,35,362975,363000,362975,362987.5,362988.1756756757,-1
6,276,20201126,201126,90025,1,42,33,362975,363000,362975,362987.5,362989.0,-1
7,295,20201126,201126,90027,2,42,35,363000,363000,362975,362987.5,362988.63636363635,1
8,328,20201126,201126,90028,5,41,37,363000,363000,362975,362987.5,362988.141025641,1
9,363,20201126,201126,90028,2,29,37,363000,363000,362975,362987.5,362985.98484848486,1
10,370,20201126,201126,90029,3,24,39,362975,363000,362975,362987.5,362984.5238095238,-1
11,425,20201126,201126,90030,1,34,31,363000,363000,362975,362987.5,362988.07692307694,1
12,466,20201126,201126,90032,1,36,31,363000,363000,362975,362987.5,362988.4328358209,1
13,481,20201126,201126,90035,1,32,32,362975,363000,362975,362987.5,362987.5,-1
14,486,20201126,201126,90035,1,35,31,362975,363000,362975,362987.5,362988.25757575757,-1
15,489,20201126,201126,90035,1,35,30,362975,363000,362975,362987.5,362988.46153846156,-1
16,492,20201126,201126,90036,1,35,29,362975,363000,362975,362987.5,362988.671875,-1
17,509,20201126,201126,90036,1,41,26,362975,363000,362975,362987.5,362990.29850746266,-1
18,512,20201126,201126,90036,2,41,25,362975,363000,362975,362987.5,362990.5303030303,-1
19,515,20201126,201126,90036,3,41,23,362975,363000,362975,362987.5,362991.015625,-1
20,536,20201126,201126,90038,5,46,20,363000,363000,362975,362987.5,362992.42424242425,1
21,585,20201126,201126,90039,20,33,25,362975,363000,362975,362987.5,362989.224137931,-1
22,588,20201126,201126,90039,1,33,5,362975,363000,362975,362987.5,362996.7105263158,-1
23,591,20201126,201126,90039,1,33,4,362975,363000,362975,362987.5,362997.2972972973,-1
24,596,20201126,201126,90039,3,35,3,362975,363000,362975,362987.5,362998.0263157895,-1
25,611,20201126,201126,90039,1,37,1,362975,363000,362975,362987.5,362999.34210526315,-1
26,620,20201126,201126,90039,5,5,53,362975,362975,362950,362962.5,362952.1551724138,1
27,625,20201126,201126,90039,1,39,1,362975,363000,362975,362987.5,362999.375,-1
28,630,20201126,201126,90039,1,1,53,362975,362975,362950,362962.5,362950.462962963,1
29,661,20201126,201126,90039,18,36,7,363000,363000,362975,362987.5,362995.93023255817,1
30,722,20201126,201126,90039,1,13,31,362975,363000,362975,362987.5,362982.38636363635,-1
31,813,20201126,201126,90040,3,12,46,363000,363000,362975,362987.5,362980.1724137931,1
32,816,20201126,201126,90040,2,9,46,363000,363000,362975,362987.5,362979.0909090909,1
33,821,20201126,201126,90040,3,6,46,363000,363000,362975,362987.5,362977.8846153846,1
34,824,20201126,201126,90040,3,3,46,363000,363000,362975,362987.5,362976.5306122449,1
35,843,20201126,201126,90040,3,48,6,363000,363025,363000,363012.5,363022.22222222225,-1
36,846,20201126,201126,90040,3,48,3,363000,363025,363000,363012.5,363023.5294117647,-1
37,901,20201126,201126,90040,2,16,49,363000,363000,362975,362987.5,362981.1538461539,1
38,918,20201126,201126,90040,2,6,50,362975,363000,362975,362987.5,362977.6785714286,-1
39,953,20201126,201126,90042,1,9,48,363000,363000,362975,362987.5,362978.94736842107,1
